,corr,variable,type
0,0.21856209092564471,away_total_scoring_att,Away
1,0.21433339757919803,away_possession_percentage,Away
2,0.1913962799867555,away_pass,Away
3,0.1883481362727603,midfielder_away_player_rating,Away
4,0.1767586712190994,away_blocked_scoring_att,Away
5,0.17505629153005384,away_team_rating,Away
6,0.17210443462931602,away_ontarget_scoring_att,Away
7,0.16737080248044436,FTAG_mean,Away
8,0.16131374236296459,away_won_corners,Away
9,0.14768392276364314,forward_away_player_rating,Away
10,0.145134338301934,away_won_contest,Away
11,0.1405172505735857,away_shot_off_target,Away
12,0.10503655182262181,defender_away_player_rating,Away
13,0.08430107371886354,away_aerial_lost,Away
14,0.0579718645590511,away_post_scoring_att,Away
0,0.26873575395575755,away_total_scoring_att,FTAG
1,0.2624893344409995,away_possession_percentage,FTAG
2,0.21993581078639118,away_pass,FTAG
3,0.21151613451122847,away_won_corners,FTAG
4,0.2056200200858306,away_blocked_scoring_att,FTAG
5,0.20193393052752812,away_won_contest,FTAG
6,0.20080264194948258,away_ontarget_scoring_att,FTAG
7,0.2006176566885694,midfielder_away_player_rating,FTAG
8,0.19397899584092768,away_shot_off_target,FTAG
9,0.1866613229137615,FTAG_mean,FTAG
10,0.1789085258876672,away_team_rating,FTAG
11,0.16016109577093587,forward_away_player_rating,FTAG
12,0.09725686915428956,away_post_scoring_att,FTAG
13,0.09650920996711303,defender_away_player_rating,FTAG
14,0.06343397853364972,away_aerial_won,FTAG
