,corr,variable,type
0,0.1927270640934611,home_ontarget_scoring_att,Home
1,0.17802560168825932,home_possession_percentage,Home
2,0.17573228616182568,home_total_scoring_att,Home
3,0.17151942406602533,home_pass,Home
4,0.16539043544680662,FTHG_mean,Home
5,0.16168075484536387,forward_home_player_rating,Home
6,0.1570226809225427,home_team_rating,Home
7,0.14802742539463015,midfielder_home_player_rating,Home
8,0.12294678189021936,home_aerial_lost,Home
9,0.114151730622902,home_won_corners,Home
10,0.10491782806401853,home_shot_off_target,Home
11,0.10110332753094088,home_won_contest,Home
12,0.09707793158257284,home_blocked_scoring_att,Home
13,0.08715695649085828,home_aerial_won,Home
14,0.08031780778630684,defender_home_player_rating,Home
0,0.2030666694542545,home_ontarget_scoring_att,FTHG
1,0.19917049871633702,home_possession_percentage,FTHG
2,0.19669540956368017,FTHG_mean,FTHG
3,0.1966140828049325,home_pass,FTHG
4,0.19207165659831435,home_team_rating,FTHG
5,0.19109688204997097,home_total_scoring_att,FTHG
6,0.18550828440239273,midfielder_home_player_rating,FTHG
7,0.1738225901410617,forward_home_player_rating,FTHG
8,0.1543075967309961,home_won_contest,FTHG
9,0.15147918783147868,home_aerial_lost,FTHG
10,0.13094795600387935,home_won_corners,FTHG
11,0.11784210257298455,home_shot_off_target,FTHG
12,0.11770841300973224,home_aerial_won,FTHG
13,0.10893667635199131,home_blocked_scoring_att,FTHG
14,0.0945201036975756,defender_home_player_rating,FTHG
