,match_id,home_team_id,home_team_name,home_team_rating,date,home_att_goal_low_left,home_won_contest,home_possession_percentage,home_total_throws,home_att_miss_high_left,home_blocked_scoring_att,home_total_scoring_att,home_att_sv_low_left,home_total_tackle,home_att_miss_high_right,home_aerial_won,home_att_miss_right,home_att_sv_low_centre,home_aerial_lost,home_accurate_pass,home_total_pass,home_won_corners,home_shot_off_target,home_ontarget_scoring_att,home_att_miss_left,home_fk_foul_lost,home_att_sv_low_right,home_att_goal_low_centre,home_att_sv_high_left,home_total_offside,home_att_goal_high_left,home_att_goal_low_right,home_att_miss_high,home_att_sv_high_centre,home_att_post_high,home_post_scoring_att,home_att_sv_high_right,home_att_pen_goal,home_att_post_right,home_att_goal_high_right,home_att_post_left,home_att_goal_high_centre,home_penalty_save,season,away_team_id,away_team_name,away_team_rating,away_won_corners,away_fk_foul_lost,away_won_contest,away_total_tackle,away_aerial_lost,away_possession_percentage,away_att_goal_low_left,away_total_pass,away_total_throws,away_total_offside,away_blocked_scoring_att,away_ontarget_scoring_att,away_aerial_won,away_accurate_pass,away_total_scoring_att,away_att_sv_low_left,away_att_miss_high_right,away_att_miss_right,away_shot_off_target,away_att_miss_left,away_att_miss_high,away_att_goal_low_centre,away_att_goal_high_right,away_att_miss_high_left,away_att_sv_low_centre,away_att_goal_high_left,away_att_sv_high_centre,away_att_goal_low_right,away_att_sv_high_right,away_att_sv_high_left,away_penalty_save,away_att_sv_low_right,away_post_scoring_att,away_att_post_high,away_att_post_left,away_att_pen_goal,away_att_goal_high_centre,away_att_post_right,goalkeeper_home_player_rating,defender_home_player_rating,midfielder_home_player_rating,forward_home_player_rating,goalkeeper_away_player_rating,defender_away_player_rating,midfielder_away_player_rating,forward_away_player_rating,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
0,829513,13,Arsenal,7.015,2014-08-16,1.0,12.0,76.0,21.0,1.0,3.0,14.0,2.0,26.0,1.0,23.0,1.0,1.0,17.0,640.0,730.0,9.0,5.0,6.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,162,Crystal Palace,6.62857142857143,3.0,19.0,7.0,33.0,23.0,24.0,1.0,222.0,18.0,1.0,2.0,2.0,17.0,127.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,7.2775,7.556,6.42,6.26,6.95,6.812500000000001,6.824999999999999,2,1,H,1,1,D,13,19,2,2,0,1,1.25,6.5,15.0,1.25,6.0,13.0,1.26,6.45,14.01,1.25,5.5,12.0,1.25,6.25,10.5,50,1.3,1.25,6.7,5.96,16.0,12.43,48,1.77,1.72,2.26,2.1,24,-1.5,1.81,1.78,2.2,2.1,1.29,5.9,12.75
1,829515,14,Leicester,6.71428571428571,2014-08-16,0.0,6.0,36.7,12.0,0.0,3.0,11.0,0.0,13.0,0.0,27.0,2.0,0.0,14.0,265.0,344.0,3.0,5.0,3.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,31,Everton,6.61,6.0,10.0,9.0,19.0,27.0,63.3,0.0,605.0,17.0,0.0,5.0,3.0,14.0,509.0,13.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,6.9375,6.52,7.005,6.03,6.5600000000000005,7.06,6.32,2,2,D,1,2,A,16,10,1,1,0,0,3.2,3.4,2.4,3.25,3.4,2.25,3.14,3.38,2.46,3.1,3.1,2.4,3.2,3.4,2.4,50,3.3,3.06,3.45,3.32,2.42,2.36,48,2.1,2.0,1.9,1.8,22,0.25,1.88,1.85,2.1,2.02,3.11,3.4,2.47
2,829517,32,Manchester United,6.70714285714286,2014-08-16,1.0,13.0,59.6,29.0,0.0,4.0,14.0,1.0,13.0,0.0,20.0,1.0,3.0,10.0,482.0,558.0,4.0,5.0,5.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,259,Swansea,6.88642857142857,0.0,20.0,4.0,19.0,20.0,40.4,0.0,383.0,23.0,1.0,1.0,4.0,10.0,307.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,7.076666666666667,6.550000000000001,7.05,7.34,6.785,7.256,6.5,1,2,A,0,1,A,14,20,2,4,0,0,1.36,5.0,11.0,1.36,5.0,10.0,1.37,5.1,10.6,1.36,4.5,9.0,1.36,5.2,10.0,50,1.38,1.34,5.5,4.96,11.03,9.32,48,1.77,1.71,2.3,2.13,25,-1.5,2.18,2.08,1.87,1.79,1.45,4.81,8.25
3,829519,171,Queens Park Rangers,6.715,2014-08-16,0.0,8.0,51.0,22.0,0.0,6.0,19.0,1.0,14.0,0.0,30.0,5.0,3.0,15.0,296.0,383.0,8.0,7.0,6.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,214,Hull,7.17642857142857,9.0,10.0,4.0,17.0,30.0,49.0,1.0,382.0,26.0,2.0,4.0,4.0,15.0,289.0,11.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,7.096666666666667,6.775999999999999,6.654999999999999,8.92,8.013333333333334,7.2775,6.330000000000001,0,1,A,0,0,D,10,10,1,2,0,0,2.5,3.3,3.1,2.4,3.25,3.1,2.48,3.26,3.22,2.6,3.0,2.9,2.55,3.2,3.12,50,2.6,2.47,3.4,3.18,3.2,3.02,46,2.52,2.36,1.65,1.58,24,0.0,1.8,1.73,2.25,2.14,2.31,3.24,3.59
4,829520,96,Stoke,6.79923076923077,2014-08-16,0.0,9.0,63.1,36.0,0.0,6.0,12.0,2.0,27.0,0.0,30.0,1.0,0.0,9.0,432.0,517.0,2.0,4.0,2.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,24,Aston Villa,6.76769230769231,8.0,9.0,4.0,19.0,30.0,36.9,1.0,289.0,35.0,1.0,2.0,1.0,9.0,197.0,7.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,7.449999999999999,6.7700000000000005,6.59,6.3,7.0875,6.981999999999999,6.2,0,1,A,0,0,D,14,9,0,3,0,0,1.95,3.5,4.5,1.95,3.4,4.2,1.95,3.47,4.55,1.95,3.2,4.2,1.95,3.3,4.75,50,2.0,1.92,3.5,3.38,4.8,4.27,44,2.42,2.31,1.67,1.6,23,-0.5,1.95,1.91,2.02,1.96,2.01,3.34,4.51
5,829521,175,West Bromwich Albion,6.54857142857143,2014-08-16,1.0,5.0,57.8,24.0,1.0,0.0,10.0,1.0,18.0,1.0,16.0,1.0,1.0,15.0,349.0,439.0,6.0,5.0,5.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014_2015,16,Sunderland,6.87142857142857,3.0,9.0,8.0,29.0,16.0,42.2,0.0,323.0,19.0,3.0,3.0,2.0,15.0,242.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,6.5625,6.834999999999999,7.365,6.45,6.8725000000000005,7.348000000000001,6.7,2,2,D,1,1,D,18,9,3,1,0,0,2.25,3.4,3.5,2.3,3.3,3.3,2.21,3.34,3.73,2.3,3.1,3.3,2.25,3.3,3.6,50,2.3,2.23,3.5,3.31,3.7,3.34,48,2.29,2.14,1.76,1.7,22,-0.25,1.94,1.91,2.02,1.97,2.09,3.42,4.03
6,829522,29,West Ham,6.65928571428572,2014-08-16,0.0,5.0,46.6,15.0,1.0,4.0,18.0,0.0,17.0,0.0,15.0,1.0,2.0,12.0,344.0,414.0,8.0,10.0,4.0,5.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,30,Tottenham,6.92357142857143,5.0,10.0,9.0,19.0,15.0,53.4,0.0,482.0,16.0,0.0,4.0,4.0,12.0,386.0,10.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,6.85,6.92,5.66,7.77,6.9475,7.101999999999999,6.04,0,1,A,0,0,D,12,10,1,0,1,1,3.8,3.6,2.05,3.6,3.4,2.1,3.96,3.55,2.06,3.75,3.3,2.05,4.0,3.5,2.05,49,4.05,3.74,3.62,3.43,2.2,2.03,47,2.08,1.98,1.92,1.82,21,0.5,1.91,1.86,2.1,2.02,3.92,3.67,2.03
7,829516,26,Liverpool,7.28076923076923,2014-08-17,1.0,15.0,56.1,22.0,2.0,2.0,12.0,1.0,16.0,0.0,23.0,0.0,1.0,14.0,514.0,601.0,2.0,5.0,5.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,18,Southampton,6.76615384615385,6.0,11.0,10.0,35.0,23.0,43.9,0.0,450.0,27.0,2.0,2.0,6.0,14.0,345.0,12.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.6125,7.384,7.71,6.12,7.13,7.053333333333334,6.68,2,1,H,1,0,H,8,11,1,2,0,0,1.33,5.75,10.0,1.36,5.0,9.0,1.35,5.48,10.3,1.36,4.5,9.0,1.36,5.25,10.0,49,1.38,1.34,5.8,5.16,11.0,9.0,41,1.66,1.6,2.54,2.3,24,-1.5,2.04,2.0,1.94,1.87,1.43,4.83,8.75
8,829518,23,Newcastle United,6.47142857142857,2014-08-17,0.0,14.0,44.2,22.0,1.0,3.0,12.0,0.0,23.0,0.0,14.0,1.0,0.0,16.0,382.0,460.0,3.0,9.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,167,Manchester City,7.20928571428572,3.0,11.0,6.0,29.0,14.0,55.8,0.0,593.0,14.0,0.0,3.0,5.0,16.0,511.0,13.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,6.4125,6.65,6.72,6.68,7.760000000000001,7.1425,7.3149999999999995,0,2,A,0,1,A,8,11,1,5,0,0,5.25,4.33,1.67,5.0,4.2,1.66,5.8,4.28,1.63,5.0,3.75,1.67,5.5,4.1,1.67,50,5.97,5.24,4.33,4.0,1.67,1.64,44,1.73,1.66,2.36,2.19,24,1.0,1.86,1.8,2.12,2.08,5.55,4.38,1.63
9,829514,184,Burnley,6.29857142857143,2014-08-18,0.0,3.0,38.6,35.0,1.0,1.0,9.0,0.0,12.0,0.0,27.0,3.0,0.0,20.0,288.0,413.0,4.0,6.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014_2015,15,Chelsea,7.13428571428571,3.0,7.0,12.0,19.0,27.0,61.4,2.0,668.0,29.0,1.0,4.0,3.0,20.0,551.0,11.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,6.435,6.7625,6.154999999999999,6.75,7.25,7.672,7.6,1,3,A,1,3,A,6,7,1,1,0,0,9.0,5.0,1.4,9.0,4.8,1.4,9.77,4.81,1.41,9.0,4.2,1.4,10.0,4.8,1.4,48,11.0,8.72,5.1,4.63,1.42,1.39,46,1.95,1.85,2.05,1.94,23,1.5,1.82,1.7,2.35,2.2,9.25,5.01,1.4
